character_name,dialogue
Albus Dumbledore,Thank you.
TEACHER,"The third floor's clear too, sir."
Albus Dumbledore,Very good.
Severus Snape,I've done the dungeons.
Severus Snape,"No sign of Black, nor anywhere else in the castle."
Albus Dumbledore,I didn't really expect him to linger.
Severus Snape,"Remarkable feat, don't you think?"
Severus Snape,To enter Hogwarts Castle on one's own completely undetected?
Albus Dumbledore,"Quite remarkable, yes."
Severus Snape,Any theories on how he managed it?
Albus Dumbledore,Many. Each as unlikely as the next.
Severus Snape,You may recall prior to the start of term I expressed concerns about your appointment of Professor...
Albus Dumbledore,Not a single professor inside this castle would help Sirius Black enter it.
Albus Dumbledore,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.
Severus Snape,What about Potter?
Severus Snape,Should he be warned?
Albus Dumbledore,"Perhaps. But for now, let him sleep."
Albus Dumbledore,"For in dreams, we enter a world that's entirely our own."
Albus Dumbledore,Let them swim in the deepest ocean or glide over the highest cloud.
Severus Snape,Turn to page 394.
Harry Potter,"Excuse me, sir."
Harry Potter,Where's Professor Lupin?
Severus Snape,"That's not really your concern, is it, Potter?"
Severus Snape,Suffice it to say your professor finds himself incapable of teaching at the present time.
Severus Snape,Turn to page 394.
Ron Weasley,Werewolves?
Hermione Granger,"Sir, we just learned about red caps and hinkypunks."
Hermione Granger,We're not meant to start that for weeks.
Severus Snape,Quiet.
Ron Weasley,When did she come in?
Ron Weasley,Did you see her come in?
Severus Snape,"Now, which one of you can tell me the difference between an Animagus and a werewolf?"
Severus Snape,No one?
Severus Snape,How disappointing.
Hermione Granger,"Please, sir."
Hermione Granger,An Animagus is a wizard who elects to turn into an animal.
Hermione Granger,A werewolf has no choice.
Hermione Granger,With each full moon he no longer remembers who he is.
Hermione Granger,He'd kill his best friend.
Hermione Granger,"Furthermore, The werewolf only responds to the call of its own kind."
Severus Snape,"Thank you, Mr. Malfoy."
Severus Snape,"That's the second time you've spoken out of turn, Miss Granger."
Severus Snape,Are you incapable of restraining yourself or do you take pride in being an insufferable know-it-all?
Ron Weasley,"He's got a point, you know."
Severus Snape,Five points from Gryffindor.
Severus Snape,"As an antidote to your ignorance, and on my desk, by Monday morning two rolls of parchment on the werewolf, with emphasis on recognizing it."
Harry Potter,It's Quidditch tomorrow.
Severus Snape,"Then I suggest you take extra care, Mr. Potter."
Severus Snape,Loss of limb will not excuse you.
Severus Snape,Page 394.
Severus Snape,"The term ""werewolf"" is a contraction of the Anglo-Saxon word ""were"" which means ""man,"" and ""wolf."" Werewolf, man-wolf."
Severus Snape,There are several ways to become a werewolf.
Severus Snape,They include being given the power of shape-shifting being bitten by a werewolf...
CROWD,Go Go Gryffindor!!
Hermione Granger,"Go, Harry! Go, Harry!"
Albus Dumbledore,Aresto momentum!
Ron Weasley,"He looks a bit peaky, doesn't he?"
FRED,Peaky?
FRED,What do you expect?
FRED,He fell over 100 feet.
GEORGE,Let's walk you off a tower and see what you look like.
Harry Potter,Probably a right sight better than he normally does.
Hermione Granger,How are you feeling?
Harry Potter,"Oh, brilliant."
GEORGE,You gave us a right good scare.
Harry Potter,What happened?
Ron Weasley,"Well, you fell off your broom."
Harry Potter,Really? I meant the match. Who won?
Hermione Granger,"No one blames you, Harry."
Hermione Granger,Dementors aren't supposed to be on the grounds. Dumbledore's furious.
Hermione Granger,"After he saved you, he sent them off."
Ron Weasley,There's something else you should know too.
Ron Weasley,"When you fell, your broom sort of blew into the Whomping Willow, and...Well..."
LUPIN,I'm sorry to hear about your broomstick.
LUPIN,Is there no chance of fixing it?
Harry Potter,No.
Harry Potter,"Professor, why do the dementors affect me so?"
Harry Potter,"I mean, more than everyone else?"
LUPIN,Listen.
LUPIN,Dementors are the foulest creatures to walk this earth.
LUPIN,"They feed on every good feeling, every happy memory until a person is left with absolutely nothing but his worst experiences."
LUPIN,"You are not weak, Harry."
LUPIN,Dementors affect you most because there are true horrors in your past.
LUPIN,Horrors your classmates can scarcely imagine.
LUPIN,You have nothing to be ashamed of.
Harry Potter,"I'm scared, professor."
LUPIN,"Well, I'd consider you a fool if you weren't."
Harry Potter,I need to know how to fight them.
Harry Potter,You could teach me.
Harry Potter,You made the one on the train go away.
LUPIN,There was only one that night.
Harry Potter,But you made it go away.
LUPIN,"I don't pretend to be an expert, Harry."
LUPIN,But as the dementors seem to have developed an interest in you perhaps I should teach you.
LUPIN,But after the holidays.
LUPIN,"For now, I need to rest."
MAN,Last call for Hogsmeade!
MAN,"Come on, now!"
Harry Potter,"Guys, let me go."
FRED,"Clever, Harry."
GEORGE,But not clever enough.
FRED,We've got a better way.
Harry Potter,I'm trying to get to Hogsmeade.
FRED & GEORGE,We know.
FRED,We'll get you there.
GEORGE,We'll show you a quicker way.
FRED,If you pipe down.
FRED,Bless him.
Harry Potter,"Let me go! Come on, guys. Don't..."
FRED,"Now, Harry."
GEORGE,Come and join the big boys.
Harry Potter,What are you doing?!
Harry Potter,What's this rubbish?
GEORGE,What's this rubbish? he says.
FRED,It's the secret to our success.
GEORGE,It's a wrench giving it to you...
FRED,But we've decided your needs are greater than ours.
FRED,"George, if you will."
GEORGE,I solemnly swear that I am up to no good.
Harry Potter,"Messrs. Moony, Wormtail, Padfoot and Prongs are proud to present the Marauder's Map."
GEORGE,We owe them so much.
Harry Potter,Hang on. This is Hogwarts. And that…
Harry Potter,No. Is that really...?
FRED,Dumbledore.
GEORGE,In his study.
FRED,Pacing.
GEORGE,Does that a lot.
Harry Potter,So you mean this map shows...
FRED,Everyone.
Harry Potter,Everyone?
GEORGE,Where they are.
FRED,What they're doing.
GEORGE,Every minute.
FRED,Every day.
Harry Potter,Brilliant! Where did you get it?
FRED,From Filch's office.
FRED,First year.
GEORGE,There are seven secret passageways out of the castle.
GEORGE,We'd recommend this one.
FRED,The One-Eyed Witch passageway.
GEORGE,Leads straight you to Honeyduke's.
FRED,Hurry. Filch is heading this way.
GEORGE,"Oh Harry and don't forget. When you're done, just give it a tap and say:"
FRED & GEORGE,Mischief managed.
FRED & GEORGE,"Otherwise, anyone can read it."
WITCH,"Now, how much do you want?"
BOY,Delicious.
Hermione Granger,It's meant to be the most haunted building in Britain. Did I mention that?
Ron Weasley,Twice.
Hermione Granger,Do you want to move a bit closer?
Hermione Granger,To the Shrieking Shack?
Ron Weasley,"Actually, I'm fine here."
Draco Malfoy,"Well, well. Look who's here."
Draco Malfoy,You two shopping for your new dream home?
Draco Malfoy,"Bit grand for you, isn't it, Weasle-Bee?"
Draco Malfoy,Don't your family sleep in one room?
Ron Weasley,"Shut your mouth, Malfoy."
Draco Malfoy,Not very friendly.
Draco Malfoy,"Boys, I think it's time we teach Weasle-Bee how to respect his superiors."
Hermione Granger,Hope you don't mean yourself.
Draco Malfoy,How dare you talk to me!
Draco Malfoy,You filthy little mudblood!
Draco Malfoy,Who is that?
Draco Malfoy,Don't stand there! Do something!
CRABBE,What?
Ron Weasley,"What's up, Malfoy? Lost your skis?"
Draco Malfoy,Get out of the way!
Draco Malfoy,Move!
CRABBE,Malfoy! Wait! Wait!
Hermione Granger,Harry!
Ron Weasley,"Bloody hell, Harry."
Ron Weasley,That was not funny.
Ron Weasley,Those weasels! Never told me about any Marauder's Map.
Hermione Granger,He won't keep it. He'll turn it over to Professor McGonagall. Aren't you?
Ron Weasley,Sure. Along with his Invisibility Cloak.
Hermione Granger,Look who it is. Madam Rosmerta.
Hermione Granger,Ron fancies her.
Ron Weasley,That's not true!
FUDGE,Professor McGonagall!
Minerva McGonagall,Cornelius!
Rubeus Hagrid,"Allow me, minister."
FUDGE,"Oh, Hagrid..."
Rubeus Hagrid,Sorry about that.
FUDGE,"Rosmerta, my dear."
FUDGE,I hope business is good.
MADAM ROSMERTA,It'd be a lot better if the Ministry wasn't sending dementors into my pub every other night!
FUDGE,We have...We have a killer on the loose.
MADAM ROSMERTA,Sirius Black in Hogsmeade!
MADAM ROSMERTA,And what would bring him here?
FUDGE,Harry Potter.
MADAM ROSMERTA,Harry Potter?
FUDGE,Shh! Come.
Hermione Granger,Harry!
SHRUNKEN HEAD 1,No underage wizards allowed in today!
SHRUNKEN HEAD 2,Shut the damn door!
Hermione Granger,So rude.
Ron Weasley,Thick heads.
SHRUNKEN HEAD 1,Thick heads?!
SHRUNKEN HEAD 2,How dare they!
SHRUNKEN HEAD 2,Who are they calling thick heads?
SHRUNKEN HEAD 1,Young whippersnappers!
MADAM ROSMERTA,Nobody will come to a pub where they'll get scared out of their wits.
Minerva McGonagall,Professor Dumbledore doesn't want dementors around the place.
MADAM ROSMERTA,Tell me what this is all about.
Minerva McGonagall,"Years ago, when Harry Potter's parents realized they were marked for death..."
Minerva McGonagall,Remember? They hid.
Minerva McGonagall,Few knew where they were.
Minerva McGonagall,One who did was Sirius Black.
Minerva McGonagall,And he told You-Know-Who.
FUDGE,Not only did Black lead him to the Potters that night he also killed one of their friends Peter Pettigrew!
MADAM ROSMERTA,Peter Pettigrew?
Minerva McGonagall,Little lump of a boy.
Minerva McGonagall,Always trailing after Black.
MADAM ROSMERTA,I remember.
MADAM ROSMERTA,Never let James and Sirius out of his sight.
MADAM ROSMERTA,What happened?
Minerva McGonagall,"Peter tried to warn the Potters and might have, had he not run into an old friend, Sirius Black."
FUDGE,Black was vicious.
FUDGE,He didn't kill Pettigrew. He destroyed him!
FUDGE,A finger. That's all that was left.
FUDGE,A finger. Nothing else.
Minerva McGonagall,"Yes, Sirius Black may not have put his hands to the Potters but he's the reason they're dead."
FUDGE,And now he wants to finish what he started.
MADAM ROSMERTA,I don't believe it.
FUDGE,That's not the worst of it.
MADAM ROSMERTA,What could be worse?
Minerva McGonagall,This: Sirius Black was and remains to this day Harry Potter's godfather!
Hermione Granger,"Ron, look!"
Hermione Granger,"Sorry. Sorry. Excuse me, excuse me."
Ron Weasley,Merry Christmas.
Hermione Granger,"Harry, what happened?"
Harry Potter,He was their friend and he betrayed them.
Harry Potter,He was their friend!
Harry Potter,I hope he finds me.
Harry Potter,"Because when he does, I'm gonna be ready!"
Harry Potter,"When he does, I'm gonna kill him!"
LUPIN,Harry. There you are. You came.
LUPIN,"Are you sure about this, Harry?"
LUPIN,This is very advanced magic well beyond the Ordinary Wizarding Level.
Harry Potter,I'm sure.
LUPIN,"Well, everything's prepared."
LUPIN,The spell I'm going to try yo teach you is called the Patronus Charm.
LUPIN,Did you ever hear of it?
LUPIN,No? Well...A Patronus is a positive force.
LUPIN,"For the wizard who conjures one it works like a shield, with the dementor feeding on it rather than him."
LUPIN,"But in order for it to work, you need to think of a memory."
LUPIN,"Not just any memory, a very happy memory, a very powerful memory."
LUPIN,Can you do this?
Harry Potter,Yes.
LUPIN,Very well. Close your eyes.
LUPIN,Concentrate.
LUPIN,Explore your past.
LUPIN,Do you have a memory?
LUPIN,Allow it to fill you up.
LUPIN,Lose yourself within it.
LUPIN,"Then speak the incantation, Expecto Patronum."
Harry Potter,Expecto Patronum.
LUPIN,Very good.
Harry Potter,Shall we? Wand at the ready.
Harry Potter,Expecto Patronum!
Harry Potter,Expecto... Expecto...Expect...
LUPIN,Here we go. Come on.
LUPIN,Sit up. Deep breaths.
LUPIN,It's all right. I didn't expect you to do it the first time.
LUPIN,That would have been remarkable.
LUPIN,"Here, eat this. You'll feel better."
Harry Potter,That's one nasty dementor.
LUPIN,"Oh, no, no, no."
LUPIN,"That was a boggart, Harry. A boggart."
LUPIN,The real thing would be worse.
LUPIN,"Much, much worse."
LUPIN,"As a matter of interest, what were you thinking?"
LUPIN,Which memory did you choose?
Harry Potter,The first time I rode a broom.
LUPIN,That's not good enough.
LUPIN,Not nearly good enough.
Harry Potter,There's another.
Harry Potter,"It's not happy, exactly."
Harry Potter,"Well, it is."
Harry Potter,It's the happiest I've ever felt but it's complicated.
LUPIN,Is it strong?
LUPIN,Then let's give it a try. You feel ready?
Harry Potter,Just do it.
Harry Potter,Expecto Patronum!
Harry Potter,Expecto Patronum!
LUPIN,"Yes! Well done, Harry. Well done!"
Harry Potter,I think I've had enough for today.
LUPIN,Yes. Sit down. Here.
LUPIN,"Eat this, it helps. It really helps."
LUPIN,"And just so you know, Harry I think you'd have given your father a run for his money."
LUPIN,And that is saying something.
Harry Potter,I was thinking of him. And Mum.
Harry Potter,Seeing their faces.
Harry Potter,They were talking to me.
Harry Potter,Just talking.
Harry Potter,That's the memory I chose.
Harry Potter,I don't even know if it's real.
Harry Potter,But it's the best I have.
Hermione Granger,Beautiful day.
Ron Weasley,Gorgeous.
Ron Weasley,Unless you've been ripped to pieces!
Harry Potter,Ripped to pieces?
Harry Potter,What are you talking about?
Hermione Granger,Ronald has lost his rat.
Ron Weasley,I haven't lost anything!
Ron Weasley,Your cat killed him!
Hermione Granger,Rubbish.
Ron Weasley,"Harry, you've seen the way that bloodthirsty beast of hers is always lurking about."
Ron Weasley,And Scabbers is gone.
Hermione Granger,"Well, maybe you should learn to take better care of your pets!"
Ron Weasley,Your cat killed him!
Hermione Granger,Did not.
Ron Weasley,Did.
Hermione Granger,Didn't.
Hermione Granger,"How did it go, Hagrid? The hearing?"
Rubeus Hagrid,"Well, first off, the committee members took turns talking about why we were there."
Rubeus Hagrid,I got up and did my piece.
Rubeus Hagrid,"Said how Buckbeak was a good hippogriff, always cleaned his feathers."
Rubeus Hagrid,And then Lucius Malfoy got up.
Rubeus Hagrid,"Well, you can imagine."
Rubeus Hagrid,He said Buckbeak was a deadly and dangerous creature who would kill you as soon as look at you.
Hermione Granger,And then?
Rubeus Hagrid,"And then he asked for the worst, did old Lucius."
Ron Weasley,They're not sacking you!
Rubeus Hagrid,"No, I'm not sacked."
Rubeus Hagrid,Buckbeak's been sentenced to death!
Ron Weasley,Spiders! There's... There's spiders.
Ron Weasley,Spiders. They want me to tap-dance.
Ron Weasley,I don't wanna tap-dance!
Harry Potter,Tell those spiders.
Ron Weasley,"Right, yeah. Tell them. I'll tell them..."
MADAM ROSMERTA,Peter Pettigrew?
Minerva McGonagall,Little lump of a boy.
Minerva McGonagall,Always trailing after Sirius Black.
FUDGE,Black was vicious.
FUDGE,"He didn 't kill Pettigrew, he destroyed him!"
VOICE,Put that light out!
Harry Potter,Sorry.
VOICE,"Watch it there, boy."
VOICE,We're trying to sleep here!
Harry Potter,Mischief managed. Nox.
Severus Snape,Potter.
Severus Snape,What are you doing wandering the corridors at night?
Harry Potter,I was sleepwalking.
Severus Snape,"How extraordinarily like your father you are, Potter."
Severus Snape,"He, too, was exceedingly arrogant, strutting about the castle."
Harry Potter,My dad didn't strut. And nor do I.
Harry Potter,"If you don't mind, I would appreciate it if you could lower your wand."
Severus Snape,Turn out your pockets.
Severus Snape,Turn out your pockets!
Severus Snape,What's this?
Harry Potter,Spare bit of parchment.
Severus Snape,Really? Open it.
Severus Snape,Reveal your secrets.
Severus Snape,Read it.
Harry Potter,"Messrs. Moony, Wormtail, Padfoot, and Prongs offer their compliments to Professor Snape and..."
Severus Snape,Go on.
Harry Potter,And request he keep his large nose out of other people's business.
Severus Snape,You insolent little...
LUPIN,Professor!
Severus Snape,"Well, well. Lupin."
Severus Snape,"Out for a little walk in the moonlight, are we?"
LUPIN,"Harry, are you all right?"
Severus Snape,That remains to be seen.
Severus Snape,I have now just confiscated a rather curious artifact.
Severus Snape,"Take a look, Lupin."
Severus Snape,Supposed to be your area of expertise.
Severus Snape,"Clearly, it's full of dark magic."
LUPIN,"I seriously doubt it, Severus."
LUPIN,It looks as though it's a parchment designed to insult anyone who tries to read it.
LUPIN,I suspect it's a Zonko product.
LUPIN,"Nevertheless, I shall investigate any hidden qualities it may possess."
LUPIN,"It is, after all, as you say, my area of expertise."
LUPIN,"Harry, would you come with me, please? Professor, good night."
VOICE,Are you deaf? Put that light out!
LUPIN,Come in.
LUPIN,"I haven't the faintest idea how this map came to be in your possession but quite frankly, I am astounded that you didn't hand it in."
LUPIN,"Did it never occur to you that this, in the hands of Sirius Black is a map to you?"
LUPIN,No.
Harry Potter,"No, sir."
LUPIN,Your father never set much store by the rules either.
LUPIN,But he and your mother gave their lives to save yours.
LUPIN,Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!
LUPIN,"Now, I will not cover up for you again."
LUPIN,Do you hear me?
Harry Potter,"Yes, sir."
LUPIN,I want you to return to your dormitory and stay there.
LUPIN,And don't take any detours.
LUPIN,"If you do, I shall know."
Harry Potter,"Professor, just so you know, I don't think that map always works."
Harry Potter,"Earlier, it showed someone in the castle."
Harry Potter,Someone I know to be dead.
LUPIN,"Oh, really? And who might that be?"
Harry Potter,Peter Pettigrew.
LUPIN,That's not possible.
Harry Potter,It's just what I saw.
Harry Potter,"Good night, professor."
TRELAWNEY,Broaden your minds.
TRELAWNEY,You must look beyond.
TRELAWNEY,The art of crystal gazing is in the clearing of the Inner Eye.
TRELAWNEY,Only then can you see. Try again.
TRELAWNEY,"Now, what do we have here?"
Hermione Granger,Do you mind me trying?
Hermione Granger,"The Grim, possibly."
TRELAWNEY,"My dear, from the first moment you stepped foot in my class I sensed that you did not possess the proper spirit for the noble art of Divination."
TRELAWNEY,"No, you see, there."
TRELAWNEY,"You may be young in years, but your heart is as shriveled as an old maid's, your soul as dry as the pages of the books to which you so desperately cleave."
TRELAWNEY,Have I said something?
Ron Weasley,"She's gone mental, Hermione has."
Ron Weasley,"I mean, not that she wasn't always mental but now it's in the open for everyone to see."
Harry Potter,Hang on.
Harry Potter,We better take this back.
Ron Weasley,I'm not going back.
Harry Potter,Fine. See you later.
Ron Weasley,See you.
VOICE,Harry Potter
Harry Potter,Professor Trelawney...
TRELAWNEY,He will return tonight.
Harry Potter,Sorry?
TRELAWNEY,"Tonight, he who betrayed his friends, whose heart rots with murder shall break free."
TRELAWNEY,Innocent blood shall be spilt and servant and master shall be reunited once more.
TRELAWNEY,"I'm so sorry, dear boy."
TRELAWNEY,Did you say something?
Harry Potter,No. Nothing.
Hermione Granger,I can't believe they're going to kill Buckbeak. It's just too horrible.
Ron Weasley,It just got worse.
Draco Malfoy,What did I say? Father said I can keep the hippogriff's head.
Draco Malfoy,I'll donate it to the Gryffindors' room.
Draco Malfoy,This is going to be rich.
GOYLE,Look who's here.
Draco Malfoy,Come to see the show?
Hermione Granger,"You! You foul, loathsome, evil little cockroach!"
Ron Weasley,"Hermione, no!"
Ron Weasley,He's not worth it.
GOYLE,"Malfoy, are you okay?"
GOYLE,Let's go. Quick.
Draco Malfoy,"Not a word to anyone, understood?"
Hermione Granger,That felt good.
Ron Weasley,"Not good, brilliant."
Rubeus Hagrid,Look at him. Loves the smell of the trees when the wind blows through them.
Harry Potter,Why don't we just set him free?
Rubeus Hagrid,"They'd know it was me, and then Dumbledore would get into trouble."
Rubeus Hagrid,"He's coming down, Dumbledore."
Rubeus Hagrid,Says he wants to be with me when they...When it happens.
Rubeus Hagrid,"Great man, Dumbledore."
Rubeus Hagrid,A great man.
Hermione Granger,We'll stay with you too.
Rubeus Hagrid,You'll do no such thing!
Rubeus Hagrid,Think I want you seeing something like that? No.
Rubeus Hagrid,You just drink your tea and be off.
Rubeus Hagrid,"Oh. Before you do, Ron..."
Ron Weasley,Scabbers! You're alive!
Rubeus Hagrid,Keep a closer eye on your pet.
Hermione Granger,I think you owe someone an apology.
Ron Weasley,"Right. Next time I see Crookshanks, I'll let him know."
Hermione Granger,I meant me!
Rubeus Hagrid,Blimey. What was that?
Harry Potter,Hagrid!
Rubeus Hagrid,"Oh, crikey."
Albus Dumbledore,"No, minister. Over this way."
Rubeus Hagrid,It's late. It's nearly dark.
Rubeus Hagrid,You shouldn't be here.
Rubeus Hagrid,"Someone sees you outside this time of night, you'll be in trouble."
Rubeus Hagrid,"Particularly you, Harry."
Rubeus Hagrid,With you in a moment!
Rubeus Hagrid,Quick. Quick!
Harry Potter,Hagrid.
Harry Potter,It'll be fine. It'll be okay.
Rubeus Hagrid,"Go on, go on!"
Albus Dumbledore,That's ling you see over there...
FUDGE,On the slope.
Albus Dumbledore,"On the slope... Ah, Hagrid."
Rubeus Hagrid,Professor Dumbledore.
Albus Dumbledore,Good evening.
Rubeus Hagrid,Minister. Make your way through.
Rubeus Hagrid,"Have a tea, if you like."
FUDGE,"No, Hagrid."
Rubeus Hagrid,Gentlemen.
Albus Dumbledore,I'd like a cup of tea.
FUDGE,"Well, I think we should get down to our business, shall we?"
FUDGE,"Very well. It is the decision of the Committee for the Disposal of Dangerous Creatures that the hippogriff Buckbeak here in after called ""the condemned,"" shall be executed this day at sundown."
Rubeus Hagrid,"Dear, dear..."
Albus Dumbledore,"Now, now, Hagrid. Now, come on."
Albus Dumbledore,All right. It'll be all right.
FUDGE,The execution shall dispatch...
Harry Potter,What?
Hermione Granger,I thought I just saw...Never mind.
Ron Weasley,Let's go!
Rubeus Hagrid,Buckbeak didn't mean no harm.
Harry Potter,"Oh, no."
Ron Weasley,He bit me. Scabbers.
Hermione Granger,Ron. Ron!
Harry Potter,Ron!
Ron Weasley,"Scabbers, come back."
Harry Potter,Wait!
Ron Weasley,"Scabbers, you bit me!"
Hermione Granger,"Harry, you do realize what tree this is?"
Harry Potter,"That's not good. Ron, run!"
Ron Weasley,"Harry, Hermione, run!"
Ron Weasley,It's the Grim!
Ron Weasley,Ah! Harry!
Harry Potter,"Ron! Ron, wait!"
Ron Weasley,Harry!Help!
Hermione Granger,Ron!!
Harry Potter,Ron!
Harry Potter,Ron. Ron.
Hermione Granger,Ron!
Harry Potter,Come on!
Harry Potter,Move!
Hermione Granger,Duck!
Hermione Granger,Harry!
Hermione Granger,"Oh, I'm sorry."
Harry Potter,Don't worry.
Hermione Granger,Where do you suppose this goes?
Harry Potter,I have a hunch.
Harry Potter,I just hope I'm wrong.
Hermione Granger,"We're in the Shrieking Shack, aren't we?"
Harry Potter,Come on.
Harry Potter,Ron.
Hermione Granger,Ron. You're okay.
Harry Potter,The dog. Where is it?
Ron Weasley,It's a trap. He's the dog.
Ron Weasley,He's an Animagus.
Hermione Granger,"If you want to kill Harry, you have to kill us too!"
SIRIUS,No. Only one will die tonight.
Harry Potter,Then it'll be you!
SIRIUS,"Are you going to kill me, Harry?"
LUPIN,Expelliarmus!
LUPIN,"Well, well, Sirius."
LUPIN,"Looking rather ragged, aren't we?"
LUPIN,"Finally, the flesh reflects the madness within."
SIRIUS,"Well, you'd know all about the madness within, wouldn't you Remus?"
SIRIUS,I found him.
LUPIN,I know.
SIRIUS,It's him.
LUPIN,I understand.
SIRIUS,Let's kill him!
Hermione Granger,No! I trusted you!
Hermione Granger,"And all this time, you've been his friend."
Hermione Granger,He's a werewolf!
Hermione Granger,That's why he's been missing classes.
LUPIN,How long have you known?
Hermione Granger,Since Professor Snape set the essay.
LUPIN,"Well, Hermione."
LUPIN,You are the brightest witch of your age I've ever met.
SIRIUS,"Enough talk, Remus!"
SIRIUS,"Come on, let's kill him!"
LUPIN,Wait!
SIRIUS,I did my waiting!
SIRIUS,Twelve years of it! In Azkaban!
LUPIN,Very well. Kill him.
LUPIN,But wait one more minute.
LUPIN,Harry has the right to know why.
Harry Potter,I know why.
Harry Potter,You betrayed my parents.
Harry Potter,You're the reason they're dead!
LUPIN,"No, it wasn't him."
LUPIN,"Somebody did betray your parents somebody who, until quite recently, I believed to be dead!"
Harry Potter,"Who was it, then?"
SIRIUS,Peter Pettigrew!
SIRIUS,And he's in this room! Right now!
SIRIUS,"Come out, come out, Peter!"
SIRIUS,"Come out, come out and play!"
Severus Snape,Expelliarmus!
Severus Snape,Vengeance is sweet.
Severus Snape,How I hoped I'd be the one to catch you.
LUPIN,Severus...
Severus Snape,I told Dumbledore you were helping a friend into the castle. Here's the proof.
SIRIUS,"Brilliant, Snape."
SIRIUS,Once again you've put your keen mind to the task and come to the wrong conclusion.
SIRIUS,"If you'll excuse us, Remus and I have business to attend to."
Severus Snape,Give me a reason. I beg you!
LUPIN,Severus don't be a fool.
SIRIUS,He can't help it. It's habit.
LUPIN,Sirius be quiet.
SIRIUS,Be quiet yourself!
Severus Snape,"You two, quarrelling like an old married couple."
SIRIUS,Why don't you run along and play with your chemistry set!
Severus Snape,"I could do it, you know."
Severus Snape,But why deny the dementors?
Severus Snape,They're so longing to see you.
Severus Snape,Do I detect a flicker of fear?
Severus Snape,"Oh, yes. A Dementor's Kiss. One can only imagine what that must be like."
Severus Snape,"It's said to be nearly unbearable to witness, but I'll do my best."
LUPIN,"Severus, please."
Severus Snape,After you.
Harry Potter,Expelliarmus!
Ron Weasley,Harry! What did you just do?
Hermione Granger,You attacked a teacher!
Harry Potter,Tell me about Peter.
LUPIN,He was at school with us.
LUPIN,We thought he was our friend!
Harry Potter,No. Pettigrew's dead. You killed him!
LUPIN,"No, he didn't."
LUPIN,"I thought so too, until you mentioned Pettigrew on the map!"
Harry Potter,"The map was lying, then."
SIRIUS,The map never lies!
SIRIUS,Pettigrew's alive!
SIRIUS,And he's right there!
Ron Weasley,Me?! He's mental!
SIRIUS,Not you! Your rat!
Ron Weasley,Scabbers has been in my family for...
SIRIUS,Twelve years?
SIRIUS,Curiously long life for a common garden rat!
SIRIUS,"He's missing a toe, isn't he?"
Ron Weasley,So what?
Harry Potter,All they could find of Pettigrew was his...
SIRIUS,Finger!
SIRIUS,Dirty coward cut it off so everyone would think he was dead!
SIRIUS,And then he transformed into a rat!
Harry Potter,Show me.
Harry Potter,"Give it to him, Ron."
Ron Weasley,What are you trying to do to him?
Ron Weasley,Scabbers!
Ron Weasley,Leave him alone! Get off him!
Ron Weasley,What are you doing?
PETTIGREW,Remus? Sirius. My old friends!
PETTIGREW,Harry! Look at you.
PETTIGREW,You look so much like your father.
PETTIGREW,James. We were the best of friends...
SIRIUS,How dare you speak to Harry!
SIRIUS,How dare you talk about James in front of him!
LUPIN,You sold James and Lily to Voldemort!
PETTIGREW,I didn't mean to!
PETTIGREW,The Dark Lord. You have no idea the weapons he possesses!
PETTIGREW,"Ask yourself, Sirius!"
PETTIGREW,What would you have done?
PETTIGREW,What would you have done?
SIRIUS,"I'm gonna died, I'm gonna die rather than betray my friends!"
PETTIGREW,James wouldn't have wanted me killed!
PETTIGREW,Your dad would have spared me!
PETTIGREW,He would have shown me mercy!
SIRIUS,"Should have realized if Voldemort didn't kill you, we would. Together!"
Harry Potter,No!
LUPIN,"Harry, this man..."
Harry Potter,I know what he is.
Harry Potter,But we'll take him to the castle.
PETTIGREW,"Bless you, boy. Bless you!"
Harry Potter,Get off!
Harry Potter,I said we'd take you to the castle.
Harry Potter,"After that, the dementors can have you."
SIRIUS,Sorry about the bite.
SIRIUS,I reckon that twinges a bit.
Ron Weasley,A bit? A bit?
Ron Weasley,You almost tore my leg off!
SIRIUS,I was going for the rat.
SIRIUS,"Normally, I have a very sweet disposition as a dog."
SIRIUS,"More than once, James suggested that I make the change permanent."
SIRIUS,The tail I could live with.
SIRIUS,"But the fleas, they're murder."
Harry Potter,Okay.
Ron Weasley,You better go.
Harry Potter,"No. Don't worry, okay?"
Harry Potter,It's fine. I'll stay.
Hermione Granger,"You go, I'll stay."
Harry Potter,You okay?
Ron Weasley,I'm fine. Go.
Hermione Granger,That looks really painful.
Ron Weasley,So painful.
Ron Weasley,They might chop it.
Hermione Granger,I'm sure Madam Pomfrey will fix it in a heartbeat.
Ron Weasley,It's too late. It's ruined.
Ron Weasley,It'll have to be chopped off.
SIRIUS,"It's beautiful, isn't it?"
SIRIUS,I'll never forget the first time I walked through those doors.
SIRIUS,It'll be nice to do it again as a free man.
SIRIUS,That was a noble thing you did back there.
SIRIUS,He doesn't deserve it.
Harry Potter,I didn't think my dad would have wanted his best friends to become killers.
Harry Potter,"Besides, dead, the truth dies with him."
Harry Potter,"Alive, you're free."
PETTIGREW,Turn me into a flobberworm.
PETTIGREW,Anything but the dementors!
PETTIGREW,Ron! Haven't I been a good pet?
PETTIGREW,"You won't let them give me to the dementors, will you?"
PETTIGREW,I was your rat!
